ID,BUG_TYPE,FILE_PATH,LINE_NUMBER,BUG_DESCRIPTION
1518461646.8500428___1,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/BudgetEnvelopes.java,103,  Context android.content.Context may leak during method `com.marcuscalidus.budgetenvelopes.BudgetEnvelopes.getAppContext`:
1518461646.8500428___2,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/BudgetEnvelopes.java,131,  Context com.marcuscalidus.budgetenvelopes.MainActivity may leak during method `com.marcuscalidus.budgetenvelopes.BudgetEnvelopes.setOnTransactionUpdateListener`:
1518461646.8500428___3,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/MainActivity.java,210,  Context com.marcuscalidus.budgetenvelopes.MainActivity may leak during method `com.marcuscalidus.budgetenvelopes.MainActivity.onResume`:
1518461646.8500428___4,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/BaseDataObject.java,141,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 134 is not released after line 141
1518461646.8500428___5,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/BaseDataObject.java,144,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 134 is not released after line 144
1518461646.8500428___6,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,260,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 257 is not released after line 260
1518461646.8500428___7,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,266,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 257 is not released after line 266
1518461646.8500428___8,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,233,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `return` by call to `rawQuery(...)` at line 227 is not released after line 233
1518461646.8500428___9,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,230,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 227 is not released after line 230
1518461646.8500428___10,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,233,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `return` by call to `rawQuery(...)` at line 227 is not released after line 233
1518461646.8500428___11,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,230,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 227 is not released after line 230
1518461646.8500428___12,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,340,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 337 is not released after line 340
1518461646.8500428___13,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,344,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 337 is not released after line 344
1518461646.8500428___14,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,278,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 275 is not released after line 278
1518461646.8500428___15,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/EnvelopeDataObject.java,277,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 275 is not released after line 277
1518461646.8500428___16,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/ExpenseDataObject.java,160,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 157 is not released after line 160
1518461646.8500428___17,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/ExpenseDataObject.java,164,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 157 is not released after line 164
1518461646.8500428___18,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/ExpenseDataObject.java,142,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 139 is not released after line 142
1518461646.8500428___19,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/ExpenseDataObject.java,146,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 139 is not released after line 146
1518461646.8500428___20,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,83,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 80 is not released after line 83
1518461646.8500428___21,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,87,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 80 is not released after line 87
1518461646.8500428___22,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,69,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 66 is not released after line 69
1518461646.8500428___23,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,71,   resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 66 is not released after line 71
1518461646.8500428___24,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,69,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 66 is not released after line 69
1518461646.8500428___25,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/SettingsDataObject.java,71,   resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 66 is not released after line 71
1518461646.8500428___26,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,182,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `return` by call to `rawQuery(...)` at line 176 is not released after line 182
